Entity,Code,Year,Plastic leakage to aquatic environment - Leakage type: Accumulated stock in oceans
Americas (excl. USA),,2000,1104799
Americas (excl. USA),,2001,1198096
Americas (excl. USA),,2002,1298042
Americas (excl. USA),,2003,1404860
Americas (excl. USA),,2004,1519021
Americas (excl. USA),,2005,1640651
Americas (excl. USA),,2006,1770202
Americas (excl. USA),,2007,1908201
Americas (excl. USA),,2008,2053799
Americas (excl. USA),,2009,2207340
Americas (excl. USA),,2010,2369481
Americas (excl. USA),,2011,2540054
Americas (excl. USA),,2012,2719229
Americas (excl. USA),,2013,2906963
Americas (excl. USA),,2014,3103082
Americas (excl. USA),,2015,3308621
Americas (excl. USA),,2016,3522357
Americas (excl. USA),,2017,3744266
Americas (excl. USA),,2018,3974368
Americas (excl. USA),,2019,4212359
Asia (excl. China and India),,2000,1815446
Asia (excl. China and India),,2001,1982829
Asia (excl. China and India),,2002,2163942
Asia (excl. China and India),,2003,2359297
Asia (excl. China and India),,2004,2569963
Asia (excl. China and India),,2005,2795849
Asia (excl. China and India),,2006,3038253
Asia (excl. China and India),,2007,3298208
Asia (excl. China and India),,2008,3573056
Asia (excl. China and India),,2009,3863437
Asia (excl. China and India),,2010,4171954
Asia (excl. China and India),,2011,4498576
Asia (excl. China and India),,2012,4842883
Asia (excl. China and India),,2013,5206199
Asia (excl. China and India),,2014,5588882
Asia (excl. China and India),,2015,5992579
Asia (excl. China and India),,2016,6416541
Asia (excl. China and India),,2017,6862213
Asia (excl. China and India),,2018,7331971
Asia (excl. China and India),,2019,7819759
China,CHN,2000,683704
China,CHN,2001,767961
China,CHN,2002,860436
China,CHN,2003,961500
China,CHN,2004,1071655
China,CHN,2005,1191053
China,CHN,2006,1320356
China,CHN,2007,1459822
China,CHN,2008,1608863
China,CHN,2009,1767762
China,CHN,2010,1937053
China,CHN,2011,2116806
China,CHN,2012,2306800
China,CHN,2013,2506911
China,CHN,2014,2717307
China,CHN,2015,2937417
China,CHN,2016,3166844
China,CHN,2017,3404946
China,CHN,2018,3650379
China,CHN,2019,3904145
Europe,,2000,2108221
Europe,,2001,2236698
Europe,,2002,2369250
Europe,,2003,2505618
Europe,,2004,2645949
Europe,,2005,2789810
Europe,,2006,2937352
Europe,,2007,3088272
Europe,,2008,3241914
Europe,,2009,3398072
Europe,,2010,3556755
Europe,,2011,3717634
Europe,,2012,3880484
Europe,,2013,4044898
Europe,,2014,4210718
Europe,,2015,4377486
Europe,,2016,4545149
Europe,,2017,4713249
Europe,,2018,4881724
Europe,,2019,5050790
India,IND,2000,153987
India,IND,2001,176871
India,IND,2002,202382
India,IND,2003,230668
India,IND,2004,261945.02
India,IND,2005,296324
India,IND,2006,334042
India,IND,2007,375323
India,IND,2008,419999
India,IND,2009,468196
India,IND,2010,520510.97
India,IND,2011,577245
India,IND,2012,638685
India,IND,2013,705267
India,IND,2014,777355
India,IND,2015,854925
India,IND,2016,938230
India,IND,2017,1027398.94
India,IND,2018,1122465
India,IND,2019,1223446
Middle East & North Africa,,2000,538256
Middle East & North Africa,,2001,579914
Middle East & North Africa,,2002,624101
Middle East & North Africa,,2003,670904
Middle East & North Africa,,2004,720458
Middle East & North Africa,,2005,772796
Middle East & North Africa,,2006,828079
Middle East & North Africa,,2007,886473
Middle East & North Africa,,2008,947692
Middle East & North Africa,,2009,1011826.06
Middle East & North Africa,,2010,1079166
Middle East & North Africa,,2011,1149709
Middle East & North Africa,,2012,1223484
Middle East & North Africa,,2013,1300604
Middle East & North Africa,,2014,1381272
Middle East & North Africa,,2015,1465308
Middle East & North Africa,,2016,1553363
Middle East & North Africa,,2017,1645248
Middle East & North Africa,,2018,1741134
Middle East & North Africa,,2019,1840925
Oceania,,2000,6081
Oceania,,2001,6708
Oceania,,2002,7391
Oceania,,2003,8134
Oceania,,2004,8940
Oceania,,2005,9811
Oceania,,2006,10752
Oceania,,2007,11767
Oceania,,2008,12853
Oceania,,2009,14012
Oceania,,2010,15251
Oceania,,2011,16573
Oceania,,2012,17973
Oceania,,2013,19463
Oceania,,2014,21037
Oceania,,2015,22699
Oceania,,2016,24452
Oceania,,2017,26302
Oceania,,2018,28239
Oceania,,2019,30266
Sub-Saharan Africa,,2000,582204
Sub-Saharan Africa,,2001,641969
Sub-Saharan Africa,,2002,707268
Sub-Saharan Africa,,2003,778448
Sub-Saharan Africa,,2004,855983
Sub-Saharan Africa,,2005,940111
Sub-Saharan Africa,,2006,1031396.06
Sub-Saharan Africa,,2007,1130372
Sub-Saharan Africa,,2008,1236532
Sub-Saharan Africa,,2009,1350379
Sub-Saharan Africa,,2010,1472440
Sub-Saharan Africa,,2011,1603118
Sub-Saharan Africa,,2012,1742369
Sub-Saharan Africa,,2013,1890721
Sub-Saharan Africa,,2014,2048090.9
Sub-Saharan Africa,,2015,2215206
Sub-Saharan Africa,,2016,2391484
Sub-Saharan Africa,,2017,2577063
Sub-Saharan Africa,,2018,2771924
Sub-Saharan Africa,,2019,2975932
United States,USA,2000,1479050
United States,USA,2001,1562906
United States,USA,2002,1648965
United States,USA,2003,1737407
United States,USA,2004,1827926
United States,USA,2005,1920488
United States,USA,2006,2015110
United States,USA,2007,2111580
United States,USA,2008,2209696
United States,USA,2009,2309109
United States,USA,2010,2409952
United States,USA,2011,2511974
United States,USA,2012,2615021
United States,USA,2013,2718903
United States,USA,2014,2823467
United States,USA,2015,2928552
United States,USA,2016,3034087
United States,USA,2017,3139809
United States,USA,2018,3245500
United States,USA,2019,3351125
World,OWID_WRL,2000,8471748
World,OWID_WRL,2001,9153952
World,OWID_WRL,2002,9881777
World,OWID_WRL,2003,10656836
World,OWID_WRL,2004,11481840
World,OWID_WRL,2005,12356893
World,OWID_WRL,2006,13285542
World,OWID_WRL,2007,14270018
World,OWID_WRL,2008,15304404
World,OWID_WRL,2009,16390133
World,OWID_WRL,2010,17532564
World,OWID_WRL,2011,18731688
World,OWID_WRL,2012,19986928
World,OWID_WRL,2013,21299928
World,OWID_WRL,2014,22671212
World,OWID_WRL,2015,24102792
World,OWID_WRL,2016,25592508
World,OWID_WRL,2017,27140496
World,OWID_WRL,2018,28747704
World,OWID_WRL,2019,30408748